CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
Toyo1,Shuffletag,Laetitia,Boyle-Kutch,US-CA,Kishorganj,US-AZ,5710,Bangladesh,366-235-9054,+86 246 570 1839
Chev2,DabZ,Mahmoud,"Nicolas, Wintheiser and Jast",PG-NPP,Saraktash,NO-20,462159,Russia,962-410-4298,+7 847 485 9775
Hond3,Lazz,Lorry,Kunde-Howe,BD-4,Khlung,DE-BY,22110,Thailand,838-336-0276,+225 678 618 1097
Suzu4,Shufflebeat,Krystal,Shields-Maggio,CA-QC,Miskolc,US-WV,3543,Hungary,644-720-7136,+385 463 469 5521
Acur5,Thoughtbeat,Natalya,Towne-Sporer,CA-MB,Yuezhao,VU-SEE,,China,349-253-7502,+86 212 824 1996
Hyun6,Flashspan,Hillary,"Runte, Wunsch and Johnson",BE-VWV,Orsay,RU-KYA,91893 CEDEX,France,947-345-9429,+967 187 280 9173
GMC7,Livepath,Aindrea,"Smith, Waters and Huels",AU-QLD,Palampal,BR-RJ,,Indonesia,869-531-4351,+62 436 427 9600
Cadi8,Flipbug,Stillmann,Treutel-Abshire,IR-05,Kukuluk,CH-GR,,Indonesia,537-941-6401,+7 108 417 5471
Bent9,Gigabox,Jacquelynn,Zemlak LLC,GP-U-A,Alingsås,US-MS,441 17,Sweden,272-981-6262,+86 486 443 3295
Tesl1,Thoughtmix,Wade,Yost-Smitham,MY-12,Togitsu,ME-16,859-0416,Japan,899-820-9912,+351 178 768 8243
Mits2,Tavu,Teresina,"O'Kon, Russel and Rutherford",US-MA,Tambakbaya,PG-NIK,,Indonesia,635-230-8077,+62 866 204 0535
Alfa3,Skilith,Emmalyn,"Wuckert, Cummerata and Hintz",IR-06,Banepa,MH-ALL,,Nepal,555-881-5740,+593 651 424 1685
Buic4,Edgeblab,Bevon,Stokes Group,US-CA,Shreveport,TR-73,71115,United States,318-605-9823,+55 934 488 6937
Audi5,Yadel,Dunstan,Yundt-Harber,CO-CAS,Zhexiao,AU-NSW,,China,775-712-7294,+970 614 315 8119
Pors6,Shufflester,Dora,Mueller and Sons,US-FL,Bratislava,BR-BA,841 08,Slovakia,756-160-3163,+967 292 870 0071
